,Mobile_name,price
0,"Redmi 9A Sport (Carbon Black, 32 GB)","₹6,800"
1,"Redmi 9A Sport (Metallic Blue, 32 GB)","₹6,880"
2,"REDMI 10A (Slate Grey, 32 GB)","₹8,988"
3,"Redmi 9A Sport (Coral Green, 32 GB)","₹6,829"
4,"Xiaomi 11i 5G (Pacific Pearl, 128 GB)","₹24,999"
5,"REDMI 10A (Charcoal Black, 32 GB)","₹8,990"
6,"Xiaomi 11i 5G (Stealth Black, 128 GB)","₹24,999"
7,"Redmi 9A (Nature Green, 32 GB)","₹7,895"
8,"Xiaomi 11i 5G (Purple Mist, 128 GB)","₹24,999"
9,"Redmi 9A (SeaBlue, 32 GB)","₹7,040"
10,"Redmi 9A (Nature Green, 32 GB)","₹6,990"
11,"Xiaomi 11i 5G (Stealth Black, 128 GB)","₹26,999"
12,"Redmi 9A Sport (Metallic Blue, 32 GB)","₹7,853"
13,"Xiaomi 11i 5G (Camo Green, 128 GB)","₹24,999"
14,"Redmi 9A (Midnight Black, 32 GB)","₹7,199"
15,"Xiaomi 11i 5G (Purple Mist, 128 GB)","₹26,999"
16,"Redmi Note 11 PRO Plus 5G (Phantom White, 128 GB)","₹21,489"
17,"Redmi Note 11 (Space Black, 128 GB)","₹15,947"
18,"Redmi Note 11 (Space Black, 64 GB)","₹14,370"
19,"REDMI Note 11T 5G (Matte black, 128 GB)","₹17,000"
20,"Xiaomi 11T Pro 5G Hyperphone (Meteorite Black, 256 GB)","₹39,790"
21,"Xiaomi 11Lite NE (Diamond Dazzle, 128 GB)","₹25,696"
22,"REDMI Note 11T 5G (Matte black, 128 GB)","₹18,888"
23,"Redmi Note 11 (Horizon Blue, 64 GB)","₹13,850"
